ContactId,AccountId,FirstName,LastName,Email,Phone,Role,CreatedDate
CO000001,AC00043,Matteo,Bruno,iedd07.0en4@example.it,+393502354833,Owner,2025-04-18
CO000002,AC00133,Luca,Greco,8uact4.9lny@example.it,+393928360188,Owner,2024-07-08
CO000003,AC00395,Valentina,Costa,2svhot.qf74@example.it,+393559179236,Manager,2023-11-24
CO000004,AC00065,Stefano,Esposito,rqvfx2.zvl9@example.it,+393690204531,Buyer,2022-08-23
CO000005,AC00290,Francesca,Bruno,e9zr3r.zn9l@example.it,+393558718880,Manager,2024-08-09
CO000006,AC00376,Chiara,Conti,3h03zb.5gro@example.it,+393804057953,Owner,2025-09-22
CO000007,AC00467,Martina,Conti,9x49tm.y91o@example.it,+393797519663,Buyer,2024-10-28
CO000008,AC00213,Marco,Bruno,tkzh4o.e1u2@example.it,+393783074425,Owner,2023-06-23
CO000009,AC00148,Chiara,Ricci,4zqfez.kfh0@example.it,+393684416059,Owner,2024-03-30
CO000010,AC00471,Davide,Verdi,0a0uy9.f8p4@example.it,+393547116699,Owner,2025-01-19
CO000011,AC00149,Giulia,Ricci,7d9gb9.xv8w@example.it,+393807301562,Owner,2022-09-29
CO000012,AC00088,Martina,Costa,obiry8.xny2@example.it,+393399789040,Buyer,2024-10-25
CO000013,AC00324,Giulia,Marino,x15xjx.necr@example.it,+393294195977,Owner,2025-05-27
CO000014,AC00396,Chiara,Conti,ysauuj.02gr@example.it,+393383601178,Accountant,2025-02-15
CO000015,AC00404,Davide,Verdi,xpudc6.2g3a@example.it,+393837178891,Buyer,2023-08-16
CO000016,AC00082,Chiara,Costa,ut3rsv.z2e1@example.it,+393991290436,Owner,2024-09-02
CO000017,AC00286,Giulia,Conti,86gvgt.2eeh@example.it,+393837369593,Owner,2022-04-25
CO000018,AC00382,Ilaria,Verdi,fu4b9s.ntp8@example.it,+393654727226,Buyer,2022-09-20
CO000019,AC00270,Elena,Marino,ak8s2x.quzs@example.it,+393534669082,Owner,2025-08-22
CO000020,AC00292,Luca,Ricci,9mthd3.igk3@example.it,+393379837897,Chef,2025-12-16
CO000021,AC00453,Valentina,Marino,8vhmew.cjn6@example.it,+393624387157,Accountant,2022-07-26
CO000022,AC00024,Andrea,Esposito,ocjpzt.c09z@example.it,+393249849765,Owner,2022-10-30
CO000023,AC00311,Giulia,Bruno,gnx3vp.f9pa@example.it,+393447975484,Buyer,2022-04-22
CO000024,AC00461,Luca,Rossi,vcedtc.xnmj@example.it,+393457987293,Owner,2025-12-11
CO000025,AC00208,Marco,Colombo,5ian8n.d7g0@example.it,+393649984014,Manager,2025-08-01
CO000026,AC00438,Luca,Colombo,l3rtz5.tv6g@example.it,+393920519918,Buyer,2022-07-04
CO000027,AC00538,Elena,Costa,8om08t.v4re@example.it,+393392394064,Owner,2024-06-19
CO000028,AC00336,Davide,Colombo,asfen0.b09z@example.it,+393209096080,Owner,2022-08-09
CO000029,AC00422,Andrea,Ricci,ivzg92.sjp7@example.it,+393945407515,Manager,2025-02-14
CO000030,AC00321,Luca,Bruno,53k48o.ldc0@example.it,+393351897211,Buyer,2024-12-29
CO000031,AC00497,Matteo,De Luca,8fc0tr.58ps@example.it,+393691315404,Owner,2024-06-16
CO000032,AC00163,Ilaria,Ferrari,0rs95z.ow60@example.it,+393597331717,Manager,2024-12-29
CO000033,AC00541,Stefano,De Luca,zz0i08.35tv@example.it,+393579807308,Buyer,2023-09-14
CO000034,AC00165,Paolo,Costa,v8y5si.c4s8@example.it,+393759055230,Chef,2023-03-03
CO000035,AC00295,Giulia,Bruno,pnne6i.t1ek@example.it,+393400294311,Owner,2023-10-06
CO000036,AC00042,Davide,Verdi,kh0uhk.7x3b@example.it,+393283470204,Manager,2023-07-22
