CustomerId,AccountId,PrimaryContactId,CardNumber,RegistrationChannel,RegistrationDate,Status
CU000001,AC00349,CO000611,9935241284670,InStore,<bound method Timestamp.date of Timestamp('2023-12-09 00:00:00')>,Active
CU000002,AC00384,CO000269,9641032273620,InStore,<bound method Timestamp.date of Timestamp('2025-08-12 00:00:00')>,Active
CU000003,AC00451,CO000676,9259977811147,SalesRep,<bound method Timestamp.date of Timestamp('2024-02-07 00:00:00')>,Active
CU000004,AC00195,CO000876,9681823457447,InStore,<bound method Timestamp.date of Timestamp('2024-05-07 00:00:00')>,Active
CU000005,AC00140,CO000861,9994832720715,InStore,<bound method Timestamp.date of Timestamp('2025-02-24 00:00:00')>,Active
CU000006,AC00016,CO000054,9638409847693,Online,<bound method Timestamp.date of Timestamp('2024-08-19 00:00:00')>,Active
CU000007,AC00254,CO000031,9542144595162,InStore,<bound method Timestamp.date of Timestamp('2024-08-27 00:00:00')>,Active
CU000008,AC00292,CO000898,9117941407087,SalesRep,<bound method Timestamp.date of Timestamp('2025-08-22 00:00:00')>,Active
CU000009,AC00228,CO000164,9513031811649,SalesRep,<bound method Timestamp.date of Timestamp('2023-08-04 00:00:00')>,Active
CU000010,AC00086,CO000259,9724517139236,InStore,<bound method Timestamp.date of Timestamp('2023-10-15 00:00:00')>,Active
CU000011,AC00187,CO000194,9679972874142,InStore,<bound method Timestamp.date of Timestamp('2023-02-15 00:00:00')>,Active
CU000012,AC00088,CO000297,9109112591386,Online,<bound method Timestamp.date of Timestamp('2025-07-05 00:00:00')>,Active
CU000013,AC00217,CO000911,9708537368434,InStore,<bound method Timestamp.date of Timestamp('2022-08-05 00:00:00')>,Active
CU000014,AC00371,CO000807,9184349542184,InStore,<bound method Timestamp.date of Timestamp('2025-06-04 00:00:00')>,Active
CU000015,AC00437,CO000298,9182083802812,Online,<bound method Timestamp.date of Timestamp('2022-03-26 00:00:00')>,Active
CU000016,AC00007,CO000249,9331196706907,InStore,<bound method Timestamp.date of Timestamp('2023-04-18 00:00:00')>,Active
CU000017,AC00002,CO000147,9250822784421,Online,<bound method Timestamp.date of Timestamp('2024-02-21 00:00:00')>,Active
CU000018,AC00548,CO000176,9449765191491,Online,<bound method Timestamp.date of Timestamp('2023-03-30 00:00:00')>,Active
CU000019,AC00253,CO000995,9816762966717,InStore,<bound method Timestamp.date of Timestamp('2023-04-01 00:00:00')>,Active
CU000020,AC00022,CO000913,9951292788278,SalesRep,<bound method Timestamp.date of Timestamp('2023-11-26 00:00:00')>,Active
CU000021,AC00179,CO000362,9862942751553,Online,<bound method Timestamp.date of Timestamp('2022-03-11 00:00:00')>,Active
CU000022,AC00323,CO000597,9151865650471,SalesRep,<bound method Timestamp.date of Timestamp('2022-05-02 00:00:00')>,Active
CU000023,AC00314,CO000598,9761460469188,InStore,<bound method Timestamp.date of Timestamp('2024-08-26 00:00:00')>,Active
CU000024,AC00445,CO000340,9455977740144,InStore,<bound method Timestamp.date of Timestamp('2024-04-03 00:00:00')>,Active
CU000025,AC00579,CO000642,9510133994150,Online,<bound method Timestamp.date of Timestamp('2023-02-08 00:00:00')>,Suspended
CU000026,AC00343,CO000232,9360136531203,InStore,<bound method Timestamp.date of Timestamp('2023-08-24 00:00:00')>,Active
CU000027,AC00114,CO000216,9752868245938,InStore,<bound method Timestamp.date of Timestamp('2024-11-18 00:00:00')>,Active
CU000028,AC00555,CO000410,9900141605149,InStore,<bound method Timestamp.date of Timestamp('2022-09-02 00:00:00')>,Active
CU000029,AC00464,CO000493,9896512990441,Online,<bound method Timestamp.date of Timestamp('2024-01-08 00:00:00')>,Active
CU000030,AC00005,CO000471,9782448577970,InStore,<bound method Timestamp.date of Timestamp('2024-07-24 00:00:00')>,Active
