AnonymousShopperId,PaymentTokenHash,DeviceId,FirstSeenDate,LastSeenDate,PreferredStoreId
AN000001,90cff133f76fef9d92963128185253e8a5e830e2811e5e656afe8b75894a9a2f,DVO5A7J5UAOQ7Z,2025-04-21 00:00:00,2025-01-17 00:00:00,ST006
AN000002,766150c7076d60aa3c3d68c9cc485c1ce35c4893c28cdc009617f67c25f0114f,DVA3B264QFIJP4,2024-10-28 00:00:00,2025-09-15 00:00:00,ST005
AN000003,f2026620103dfb5f9bdd032c4ca9a4b23fea1653a413f31eb78c4ffa690bbef1,DV8RJ3RNRWA8QV,2025-08-12 00:00:00,2025-04-03 00:00:00,ST016
AN000004,38aca3bb45e8fc09282fe51ef2a36d52e45db06ca8c904044b0b3d557de0e2bd,DVUU179I99PAZH,2025-01-15 00:00:00,2025-01-10 00:00:00,ST004
AN000005,acbf368e7d8c2ad473ee6850f3ae48d414a31d0bb9d9cc60d4dc75cf2904a9aa,DVL916TQ45Z9SJ,2024-03-04 00:00:00,2025-05-24 00:00:00,ST011
AN000006,0e87af824f9a960a253017ecca75d1c24f58dc330a9985627636f5515e708106,DV2S7LNZ2V9YQM,2024-01-28 00:00:00,2025-08-25 00:00:00,ST024
AN000007,3dddc84879303d1c79ee9decffb7b8109cebd0346e59660df6844bb38ed45ed6,DVZRHHVAW3HXH8,2024-11-02 00:00:00,2025-02-03 00:00:00,ST015
AN000008,6d27de5d8ccba252c53dec8b20d550e5c6e8edb9bc0064cdc5cb771b409dc5d9,DVV8NGY02197ZL,2025-02-22 00:00:00,2025-04-22 00:00:00,ST031
AN000009,034606bde6e1ced2c50af374b300130d78f72055161a35ed9e0faf357c363b6e,DVX4Z7TQV8CLAL,2025-09-26 00:00:00,2025-07-28 00:00:00,ST031
AN000010,0f9228e882011360e0355a74d161faae54d916841f9ff023613c50ea580842d8,DVK3NO4935TPOD,2025-12-03 00:00:00,2025-04-04 00:00:00,ST028
AN000011,8eedea931ddd6ef85500d03f30375a31499a38646d52aa898eae0a749fc1261d,DVWIHY68SX639I,2025-04-29 00:00:00,2025-10-30 00:00:00,ST013
AN000012,dbf07d5d09cfdaf770a094d78d17dcec70500cd1243128257238499a1f11a466,DVS5NSR3UQN8QB,2024-05-29 00:00:00,2025-06-03 00:00:00,ST007
AN000013,a21af93bf95f90ab86134700416cbb4ba6c74471eb44100bfa31874dd18ff625,DVP4MF4RCYC3PU,2024-02-17 00:00:00,2025-01-11 00:00:00,ST036
AN000014,f7c71e8c65dd8acedf3d5f7fa283c703ad8980d796f85857bd238fde32bce77e,DVQ6I9XVGO6X61,2025-06-07 00:00:00,2025-04-15 00:00:00,ST034
AN000015,4c861a217e044d0d5361a62cadd77387a981a7ad2344ff81a76160fafeb3d4bd,DVU8S91USFTLAN,2025-08-18 00:00:00,2025-12-14 00:00:00,ST005
AN000016,02b0d7b8d21afffafd7a25a87ea28c34feb1ebb1d1af27ab112d26519845aa2f,DVGCGCUC460ZLV,2024-11-03 00:00:00,2025-06-27 00:00:00,ST005
AN000017,a16f8c8d0e7a5838be4694a533e7e3e0f913dd9c75734bccb016123bc4107b48,DVAXT6X5YZ8O9V,2024-02-16 00:00:00,2025-05-23 00:00:00,ST017
AN000018,7bab1213239a077aa8783fa335af5f3932482820281897dfd223b384935a8d45,DVEKBN1SRMQLYA,2024-09-09 00:00:00,2025-03-17 00:00:00,ST033
