TenderId,TransactionId,TenderType,PaymentTokenHash
TD00000003,TR00000003,Card,2b3f50e1a34e072f5beb4825a6659a9ff2794219b8c8965b86f32ce5c213b226
TD00000006,TR00000006,Card,ae563b5a1e1de658e3f04373f09b2037ca78d7710f20774c2fd3ea0c27ff0854
TD00000008,TR00000008,Card,4622142f84b138445462511026f0bca8a1c079c9b12005b351e43a5f308a68fb
TD00000009,TR00000009,Card,01431639cf2f11bc4102ce1290066d0ec65d6f385920efb6567087ecf33ff5c5
TD00000011,TR00000011,Card,5b9a8a3e61a7fc2c6ed4b3c4daccd0f7cc12faa628cf423b3ee2c3a8a8329a95
TD00000012,TR00000012,Card,c3c0a42c36d6c7aa942b54dba12477cbb3e12ee6ad4e108e43e9c74b18df745a
TD00000013,TR00000013,Card,cd26a048418c9cc660d757af5148153345373c368bdfa09335241402a1dd3e2d
TD00000014,TR00000014,Card,5e2825de81497ab08b35e5ddc77d0f2e15ccd237192d23d48fab61047a1d4360
TD00000015,TR00000015,Card,a4faec488c801d333c235be4aa0cb63996b4339210c922b58e59de91241dc4a4
TD00000017,TR00000017,Card,634c8966491e980decb20636af078df7210a4d89d9a0f11855e581d269bd774f
TD00000018,TR00000018,Card,55d5b3711716d51ed860b475c27b715e06be30eb7fa794a34843376d5f8452e7
TD00000019,TR00000019,Card,d0f2c0fe6988d6675a3d9011be71f1f78b966546b97077e820b6b655928d5429
TD00000020,TR00000020,Card,47d6763934d34df44d444f35bb5cae936eda3935c877d1284a3c081741174c79
TD00000021,TR00000021,Card,2eee950228e20c6af878ddc71e06e46268c7a032ef62225b107e0c2b8ad9a6ce
TD00000022,TR00000022,Card,c1c0d7b0d3aa36f22b74ccf2796e31d03660f274ccad9271e8096a0f38e1aefd
TD00000023,TR00000023,Card,1111f12230d52e945caa840094a16ed54fedc973ac0c2c44253b1d370b6bae4f
TD00000024,TR00000024,Card,2abcff187f2dca02efb53ef1c051c7cc6915b5a707e3a8ae1a5bd936dd69fe4e
TD00000026,TR00000026,Card,41efdb365e79c9c33d86f2e0b6aaa41904f635d78a6a0c09e1f394ef13965493
TD00000027,TR00000027,Card,6ce98cebbfea2d51dc9629909d82f57f4312901dd8860b56e263a0e8c1195641
TD00000029,TR00000029,Card,a9484ba601ca048d3374b7b60f27efd372cadc8e2dfdea384ff6f3528054722c
TD00000030,TR00000030,Card,ac51d93737819be2668da9c6a9b81fe612f715d4ff23c67c69aa328d60c2ad3a
TD00000031,TR00000031,Card,f8e8b754008a79cd6cb26eff3fdb6dae631198ab157592dc17c4775ec21030b2
TD00000032,TR00000032,Card,1d790948c8df76e989c375bbf1f6fb07cb05302d390d1b85ad599d9d0f5bf863
TD00000034,TR00000034,Card,9fe88b36883d32e6b23532e5ffa752e76e09f409561ab994c5c844c8af93cbcc
TD00000035,TR00000035,Card,8d0717ec205ce0ce2d1e16fbf496a9a35ec58a755a2ec319daa2c7d53db26efc
TD00000036,TR00000036,Card,4ea45727341fbf884bb8ae2c7e8a89057779f05986862e256a00c50886a78670
TD00000037,TR00000037,Card,1954cf0fd0f8dbb24e6ae42c1ad3e3efbd35a1dc1220791c5339bb7ff3604416
TD00000038,TR00000038,Card,487c535a7821ac29e2b59d65598d7afd49b314db14ea890cfee9ebf62553500d
TD00000039,TR00000039,Card,2f322050ee04fc8cac9206bae7a40f83e8e248f6d6cce1e62d3dd8df465fcea7
TD00000040,TR00000040,Card,29bc88fc5d00dfe21dd1fdf5d2bd016907657f576fb9c3ae9762317f6a9e06ff
TD00000041,TR00000041,Card,5c8833f91e9e54e2ff836f601c44d84dc30c99f240c0de4c63c5aa9f8e9b9819
TD00000042,TR00000042,Card,4712ff40bc86517c76b3c34048c29861f515d527ab6f747721b4b5856b2ab612
TD00000043,TR00000043,Card,df7c0bc412c139c7bacec47ed355f50d84db29a67da1b8a929dcb834eebbbc71
TD00000044,TR00000044,Card,a6c5f0cf6c014b95d981fbff464f64771d1536cd73260a8bcaedd0fbd257d468
TD00000046,TR00000046,Card,ed8ecebaaafa81f1108bf371ac96945f0b77f389e7201de9b015542419a9f7d9
TD00000047,TR00000047,Card,6f449cab2a079fccf1b35a765c74069dbfa398dc9fdfa56ee5525e98ffba8318
TD00000048,TR00000048,Card,a0ff9ebffb8f1f7b490bc26fb17c27419f51b1579dbc3da519408e04a78cb07c
TD00000052,TR00000052,Card,649ffeb01df61857fb8071d1ee3bd57a0fd62d94ec114c353ceac187e6abf541
TD00000055,TR00000055,Card,8f725d379b4f351b7fcaf9a7fda2019f8f679e400be1084f37a576f474b4cf46
TD00000056,TR00000056,Card,5f3e8bc5381f3f15664ee6dceb48277397a58f79569d9796ebaea6073fd4b30c
TD00000058,TR00000058,Card,70dbfcadc3de2de5008c5d131c933911f858f9321b29e846b45f4278ea9de84c
TD00000060,TR00000060,Card,6f095f889dd6703a04e3b1836934e284979284eb21d11739a1240be754a7b97f
TD00000061,TR00000061,Card,17b5e1f4e5ff3a0e3de106a1401c9a18cdc649a181a88750e4ca14451711b035
TD00000062,TR00000062,Card,4bfa939e563fcf3f62cad2e0dafb65ca14d6a95c028c31d799f903b03465dd82
TD00000063,TR00000063,Card,4b8cbcce4133a10be85e0ec485b137763f9cce556cff7f97dde2c627e3b10285
TD00000065,TR00000065,Card,86110027a5141385a14f726b316f7c7bc83c2468e9a32328f1fef9dc7950ce0f
