ContactId,FirstName,LastName,Email,Type,AccountId
CT00002,Marco,Rossi,user2@mail.com,B2B,AC0102
CT00006,Marco,Costa,user6@mail.com,B2B,AC0128
CT00007,Luca,Verdi,user7@mail.com,B2B,AC0085
CT00009,Giulia,Neri,user9@mail.com,B2B,AC0272
CT00010,Sara,Bianchi,user10@mail.com,B2B,AC0143
CT00013,Marco,Rossi,user13@mail.com,B2B,AC0013
CT00018,Luca,Costa,user18@mail.com,B2B,AC0156
CT00022,Giulia,Bianchi,user22@mail.com,B2B,AC0031
CT00023,Luca,Verdi,user23@mail.com,B2B,AC0245
CT00025,Sara,Bianchi,user25@mail.com,B2B,AC0003
CT00026,Giulia,Costa,user26@mail.com,B2B,AC0068
CT00034,Sara,Bianchi,user34@mail.com,B2B,AC0100
CT00035,Paolo,Verdi,user35@mail.com,B2B,AC0055
CT00036,Sara,Costa,user36@mail.com,B2B,AC0073
CT00037,Luca,Costa,user37@mail.com,B2B,AC0127
CT00039,Luca,Costa,user39@mail.com,B2B,AC0102
CT00043,Marco,Bianchi,user43@mail.com,B2B,AC0027
CT00045,Marco,Verdi,user45@mail.com,B2B,AC0065
CT00047,Luca,Rossi,user47@mail.com,B2B,AC0008
CT00049,Sara,Neri,user49@mail.com,B2B,AC0181
CT00050,Anna,Rossi,user50@mail.com,B2B,AC0035
CT00051,Sara,Neri,user51@mail.com,B2B,AC0172
CT00052,Luca,Verdi,user52@mail.com,B2B,AC0068
CT00054,Paolo,Bianchi,user54@mail.com,B2B,AC0086
CT00055,Anna,Bianchi,user55@mail.com,B2B,AC0041
CT00060,Paolo,Rossi,user60@mail.com,B2B,AC0038
CT00065,Luca,Neri,user65@mail.com,B2B,AC0260
CT00066,Giulia,Neri,user66@mail.com,B2B,AC0187
CT00067,Luca,Rossi,user67@mail.com,B2B,AC0285
CT00068,Marco,Bianchi,user68@mail.com,B2B,AC0036
CT00069,Marco,Neri,user69@mail.com,B2B,AC0119
CT00071,Sara,Verdi,user71@mail.com,B2B,AC0284
CT00072,Anna,Bianchi,user72@mail.com,B2B,AC0259
CT00073,Paolo,Neri,user73@mail.com,B2B,AC0267
CT00075,Anna,Verdi,user75@mail.com,B2B,AC0067
CT00076,Marco,Rossi,user76@mail.com,B2B,AC0279
CT00080,Sara,Verdi,user80@mail.com,B2B,AC0276
CT00084,Marco,Costa,user84@mail.com,B2B,AC0145
CT00085,Giulia,Neri,user85@mail.com,B2B,AC0218
CT00086,Luca,Rossi,user86@mail.com,B2B,AC0291
CT00087,Luca,Rossi,user87@mail.com,B2B,AC0002
CT00088,Sara,Costa,user88@mail.com,B2B,AC0082
CT00092,Luca,Bianchi,user92@mail.com,B2B,AC0247
CT00093,Paolo,Neri,user93@mail.com,B2B,AC0248
CT00095,Luca,Rossi,user95@mail.com,B2B,AC0188
CT00098,Luca,Neri,user98@mail.com,B2B,AC0257
CT00099,Marco,Verdi,user99@mail.com,B2B,AC0199
CT00103,Luca,Costa,user103@mail.com,B2B,AC0203
CT00108,Giulia,Neri,user108@mail.com,B2B,AC0168
CT00109,Sara,Rossi,user109@mail.com,B2B,AC0037
CT00111,Giulia,Costa,user111@mail.com,B2B,AC0007
CT00114,Anna,Bianchi,user114@mail.com,B2B,AC0022
CT00115,Paolo,Costa,user115@mail.com,B2B,AC0136
CT00116,Marco,Rossi,user116@mail.com,B2B,AC0126
CT00117,Sara,Neri,user117@mail.com,B2B,AC0206
CT00118,Sara,Costa,user118@mail.com,B2B,AC0158
