ContactId,FirstName,LastName,Email,CustomerType,Phone,City,Province,RegistrationDate,PreferredContactChannel,MarketingConsent,ProfilingConsent,LoyaltyMember,PreferredStoreId
CT_ALT00001,Giorgio,Greco,,B2C,+393816270332,Bergamo,AO,2023-09-26,SMS,Yes,No,Yes,ST003
CT_ALT00002,Sara,Bianchi,user1473@example.it,B2B,+393269841340,Arezzo,BG,2024-11-25,App,Yes,No,Yes,ST016
CT_ALT00003,Francesca,Marino,USER1361@EXAMPLE.IT,B2B,+393663240088,La Spezia,BS,2024-06-05,Email,Yes,Yes,Yes,ST018
CT_ALT00004,Matteo,Bianchi,,B2C,+393911341066,Savona,LI,2025-06-29,SMS,Yes,Yes,Yes,ST010
CT_ALT00005,Paolo,Ferrari,USER1082@EXAMPLE.IT,B2C,+393860274315,Prato,CN,2025-10-26,Email,Yes,Yes,Yes,ST003
CT_ALT00006,Sara,Romano,USER675@EXAMPLE.IT,B2B,+393243197582,Modena,RA,2025-08-13,Email,No,No,Yes,ST006
CT_ALT00007,Anna,Conti,user1421@example.it,B2C,+393273406469,Ravenna,AO,2025-01-16,SMS,Yes,Yes,Yes,ST016
CT_ALT00008,Elena,Greco,USER504@EXAMPLE.IT,B2C,+393817744437,Pisa,BS,2024-08-01,SMS,No,Yes,Yes,ST007
CT_ALT00009,Paolo,Ferrari,user1330@example.it,B2B,+393651108323,Rimini,GE,2023-03-17,App,Yes,Yes,Yes,ST010
CT_ALT00010,Luca,Gallo,USER1078@EXAMPLE.IT,B2C,+393953430428,Savona,BS,2023-08-25,App,Yes,Yes,Yes,ST020
CT_ALT00011,Matteo,Conti,USER692@EXAMPLE.IT,B2C,+393882797001,Firenze,FI,2025-03-08,Email,No,No,No,ST021
CT_ALT00012,Francesca,Greco,user1084@example.it,B2C,+393462439221,Livorno,RA,2025-06-08,Email,Yes,No,Yes,ST003
CT_ALT00013,Sara,Bianchi,USER390@EXAMPLE.IT,B2C,+393586779974,La Spezia,AO,2024-10-16,App,Yes,Yes,Yes,ST006
CT_ALT00014,Stefano,Marino,user674@example.it,B2B,+393502620241,Bologna,PI,2025-08-11,SMS,Yes,No,Yes,ST007
CT_ALT00015,Sara,Conti,USER20@EXAMPLE.IT,B2B,+393746702081,Bologna,PV,2025-07-05,Email,Yes,Yes,Yes,ST012
CT_ALT00016,Davide,Ferrari,user1016@example.it,B2B,+393442420717,Ravenna,PV,2026-01-04,Email,Yes,No,No,ST002
CT_ALT00017,Chiara,Neri,user101@example.it,B2B,+393265385808,Pisa,LI,2024-07-16,Email,No,Yes,Yes,ST003
CT_ALT00018,Sara,Bianchi,user872@example.it,B2C,+393757902755,La Spezia,PO,2023-08-20,Email,Yes,Yes,Yes,ST022
CT_ALT00019,Davide,Neri,,B2C,+393257407591,Bologna,BO,2024-06-09,Email,Yes,Yes,Yes,ST020
CT_ALT00020,Matteo,Bianchi,user342@example.it,B2C,+393505453494,Pisa,PO,2024-06-30,Email,Yes,Yes,Yes,ST009
